Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2019-09-22,Ravens,Chiefs,2,4:39,4,4,RAV 43,6-14,Sam Koch punts 53 yards downed by Justin Bethel,0,-0.520,0.380,.90
2019-09-22,Texans,Chargers,2,1:49,4,3,HTX 43,7-10,Bryan Anger punts 46 yards fair catch by Desmond King at LAC-11,0,-0.520,0.370,.89
2019-09-22,Vikings,Raiders,2,5:22,4,9,MIN 40,21-7,Britton Colquitt punts 51 yards muffed catch by Jalen Richard recovered by Jalen Richard at OAK-9 returned by Jalen Richard for no gain (tackle by Ameer Abdullah),0,-0.720,0.380,1.10
2019-09-22,Packers,Broncos,2,2:35,4,3,GNB 32,10-10,JK Scott punts 50 yards fair catch by Diontae Spencer at DEN-18,0,-1.240,-0.040,1.20
2019-09-22,Jets,Patriots,2,2:28,4,5,NYJ 41,0-20,Lac Edwards punts 44 yards returned by Gunner Olszewski for no gain (tackle by Albert McClellan and Daniel Brown),0,-0.650,0.220,.87
2019-09-22,Browns,Rams,2,2:09,4,14,RAM 41,3-3,Jamie Gillan punts 29 yards fair catch by Jojo Natson at LA-12,0,0.530,0.350,-0.18
2019-09-22,Bengals,Bills,2,5:16,4,7,CIN 14,0-11,Kevin Huber punts 30 yards downed by Samaje Perine,0,-2.470,-2.650,-0.18
2019-09-22,Raiders,Vikings,2,1:15,4,6,MIN 48,7-21,A.J. Cole punts 40 yards fair catch by Chad Beebe at MIN-8,0,0.070,0.380,.31
2019-09-22,Cowboys,Dolphins,2,3:18,4,9,DAL 37,10-6,Chris Jones punts 46 yards out of bounds,0,-0.910,0.060,.97
2019-09-22,Broncos,Packers,2,1:13,4,4,DEN 31,10-17,Colby Wadman punts 59 yards out of bounds,0,-1.310,0.380,1.69
2019-09-22,Patriots,Jets,2,0:40,4,1,NYJ 41,20-0,Jake Bailey punts 31 yards fair catch by Braxton Berrios at NYJ-10,0,0.530,0.380,-0.15
2019-09-22,Ravens,Chiefs,2,1:28,4,15,RAV 44,6-20,Sam Koch punts 48 yards returned by De'Anthony Thomas for 9 yards (tackle by Justin Bethel),0,-0.460,0.060,.52
2019-09-22,Steelers,49ers,2,0:58,4,9,SFO 41,6-3,Jordan Berry punts 41 yards touchback.,0,0.530,-0.280,-0.81
2019-09-22,Cardinals,Panthers,2,0:31,4,5,CRD 30,10-14,Andy Lee punts 35 yards downed by Aaron Brewer,0,-1.370,-1.270,.10
2019-09-22,Raiders,Vikings,3,13:04,4,10,RAI 25,7-21,A.J. Cole punts 59 yards muffed catch by Chad Beebe recovered by Chad Beebe at MIN-16 (tackle by Harrison Smith). Penalty on Kris Boyd: Illegal Block Above the Waist 8 yards,0,-1.700,0.380,2.08
2019-09-22,Patriots,Jets,3,13:16,4,8,NWE 37,20-0,Jake Bailey punts 55 yards fair catch by Braxton Berrios at NYJ-8,0,-0.910,0.380,1.29
2019-09-22,Giants,Buccaneers,2,0:46,4,1,NYG 34,10-25,Riley Dixon punts 44 yards returned by Bobo Wilson for 8 yards (tackle by Eric Tomlinson). Penalty on Justin Watson: Illegal Block Above the Waist 10 yards,0,-1.110,-0.280,.83
2019-09-22,Texans,Chargers,3,13:05,4,7,HTX 28,7-17,Bryan Anger punts 46 yards returned by Desmond King for no gain (tackle by Jahleel Addae),0,-1.500,-0.670,.83
2019-09-22,Lions,Eagles,3,12:23,4,15,DET 31,20-10,Sam Martin punts 53 yards out of bounds,0,-1.310,0.140,1.45
2019-09-22,Bengals,Bills,2,1:35,4,18,CIN 41,0-14,Kevin Huber punts 44 yards returned by Andre Roberts for no gain (tackle by Preston Brown and Samaje Perine),0,-0.650,0.220,.87
2019-09-22,Chargers,Texans,3,11:23,4,18,SDG 18,17-7,Ty Long punts 60 yards returned by DeAndre Carter for 23 yards (tackle by Drue Tranquill),0,-2.240,-1.930,.31
2019-09-22,Eagles,Lions,3,9:32,4,7,PHI 48,10-20,Cameron Johnston punts 50 yards out of bounds,0,-0.190,0.380,.57
2019-09-22,Steelers,49ers,3,8:22,4,5,PIT 27,6-10,Jordan Berry punts 59 yards returned by Richie James for 11 yards (tackle by Olasunkanmi Adeniyi),0,-1.570,-0.610,.96
2019-09-22,Colts,Falcons,3,9:01,4,15,CLT 20,20-10,Rigoberto Sanchez punts 53 yards returned by Kenjon Barner for 10 yards (tackle by Ryan Lewis). Penalty on Blidi Wreh-Wilson: Illegal Blindside Block 15 yards,0,-2.030,-0.410,1.62
2019-09-22,Jets,Patriots,3,7:57,4,19,NYJ 16,0-23,Lac Edwards punts 51 yards returned by Gunner Olszewski for 7 yards (tackle by Frankie Luvu),0,-2.390,-1.600,.79
2019-09-22,Seahawks,Saints,3,6:00,4,5,SEA 30,7-27,Michael Dickson punts 39 yards muffed catch by Deonte Harris recovered by Cody Barton at NO-33 (tackle by Deonte Harris) Penalty on SEA: Unsportsmanlike Conduct 15 yards,0,-1.370,2.390,3.76
2019-09-22,Lions,Eagles,3,7:09,4,11,DET 13,20-10,Sam Martin punts 36 yards returned by Darren Sproles for 2 yards (tackle by Tavon Wilson and Jalen Reeves-Maybin),0,-2.490,-2.460,.03
2019-09-22,Buccaneers,Giants,3,12:19,4,3,NYG 49,28-18,Bradley Pinion punts 49 yards touchback.,0,0.000,-0.280,-0.28
2019-09-22,49ers,Steelers,3,7:20,4,5,SFO 30,10-6,Mitch Wishnowsky punts 52 yards fair catch by Ryan Switzer at PIT-18,0,-1.370,-0.040,1.33
2019-09-22,Packers,Broncos,3,4:34,4,3,GNB 32,24-16,JK Scott punts 66 yards returned by Diontae Spencer for 3 yards (tackle by Ty Summers). Penalty on Davontae Harris: Illegal Block Above the Waist 2 yards,0,-1.240,0.380,1.62
2019-09-22,Dolphins,Cowboys,3,9:10,4,19,MIA 27,6-17,Matt Haack punts 62 yards returned by Cedrick Wilson for 13 yards (tackle by Durham Smythe and Samuel Eguavoen),0,-1.570,-0.540,1.03
2019-09-22,Ravens,Chiefs,3,6:29,4,5,RAV 48,13-23,Sam Koch punts 52 yards touchback.,0,-0.190,-0.280,-0.09
2019-09-22,Bengals,Bills,3,13:01,4,8,CIN 43,0-14,Kevin Huber punts 41 yards returned by Andre Roberts for no gain (tackle by Preston Brown). Penalty on Maurice Alexander: Offensive Holding 8 yards,0,-0.520,0.380,.90
2019-09-22,Buccaneers,Giants,3,6:47,4,10,TAM 25,28-25,Bradley Pinion punts 49 yards muffed catch by T.J. Jones recovered by T.J. Jones at NYG-26 returned by T.J. Jones for 13 yards (tackle by Dare Ogunbowale),0,-1.700,-1.530,.17
2019-09-22,Saints,Seahawks,3,0:09,4,3,NOR 32,27-7,Thomas Morstead punts 49 yards returned by Tyler Lockett for 3 yards (tackle by J.T. Gray and Taysom Hill),0,-1.240,-0.410,.83
2019-09-22,Browns,Rams,3,2:05,4,8,RAM 49,13-10,Jamie Gillan punts 21 yards out of bounds,0,0.000,-0.810,-0.81
2019-09-22,Bills,Bengals,3,9:31,4,4,BUF 32,14-0,Corey Bojorquez punts 36 yards returned by Alex Erickson for 4 yards (tackle by Siran Neal and Maurice Alexander),0,-1.240,-1.330,-0.09
2019-09-22,Jets,Patriots,3,0:34,4,24,NYJ 49,6-30,Lac Edwards punts 43 yards muffed catch by Gunner Olszewski recovered by Arthur Maulet at NE-0 touchdown,0,-0.130,7.000,7.13
2019-09-22,Packers,Broncos,3,0:16,4,10,GNB 39,24-16,JK Scott punts 61 yards touchback.. Penalty on Josh Jackson: Illegal Formation 5 yards,0,-0.780,-0.610,.17
2019-09-22,Giants,Buccaneers,3,5:47,4,16,NYG 33,25-28,Riley Dixon punts 52 yards returned by Bobo Wilson for 1 yard (tackle by Cody Core and Tae Davis),0,-1.180,0.140,1.32
2019-09-22,Dolphins,Cowboys,3,2:00,4,3,MIA 32,6-24,Matt Haack punts 48 yards fair catch by Cedrick Wilson at DAL-20,0,-1.240,-0.280,.96
2019-09-22,Steelers,49ers,4,14:13,4,1,PIT 34,13-17,Jordan Berry punts 46 yards returned by Richie James for 5 yards (tackle by Jayrone Elliott),0,-1.110,-0.610,.50
2019-09-22,Broncos,Packers,4,13:38,4,3,DEN 32,16-24,Colby Wadman punts 42 yards fair catch by Darrius Shepherd at GB-26,0,-1.240,-0.670,.57
2019-09-22,Eagles,Lions,4,13:15,4,20,PHI 15,17-27,Cameron Johnston punts 57 yards returned by Jamal Agnew for 24 yards (tackle by Cameron Johnston),0,-2.440,-2.390,.05
2019-09-22,Cowboys,Dolphins,4,15:00,4,1,DAL 29,24-6,Chris Jones punts 48 yards muffed catch by Jakeem Grant,0,-1.440,-0.480,.96
2019-09-22,Patriots,Jets,4,12:09,4,4,NYJ 40,30-7,Penalty on NWE: Delay of Game 5 yards (no play),0,0.590,0.270,-0.32
2019-09-22,Lions,Eagles,4,11:38,4,10,PHI 48,27-17,Sam Martin punts 48 yards touchback.,0,0.070,-0.280,-0.35
2019-09-22,Chargers,Texans,4,13:37,4,9,SDG 50,17-21,Ty Long punts 32 yards fair catch by DeAndre Carter at HOU-18,0,-0.060,-0.040,.02
2019-09-22,Patriots,Jets,4,11:51,4,9,NYJ 45,30-7,Penalty on Brandon Bolden: False Start 5 yards (no play),0,0.270,-0.060,-0.33
2019-09-22,Patriots,Jets,4,11:33,4,14,NWE 50,30-7,Jake Bailey punts 42 yards fair catch by Braxton Berrios at NYJ-8,0,-0.060,0.380,.44
2019-09-22,Buccaneers,Giants,3,1:13,4,8,TAM 44,28-25,Bradley Pinion punts 37 yards fair catch by T.J. Jones at NYG-19,0,-0.460,-0.150,.31
2019-09-22,Dolphins,Cowboys,4,13:18,4,11,MIA 22,6-24,Matt Haack punts 51 yards returned by Cedrick Wilson for 16 yards (tackle by Johnson Bademosi). Penalty on Anthony Brown: Roughing the Kicker 15 yards (no play),0,-1.900,1.400,3.30
2019-09-22,49ers,Steelers,4,11:28,4,13,SFO 22,17-13,Mitch Wishnowsky punts 50 yards returned by Ryan Switzer for no gain (tackle by Emmanuel Moseley). Penalty on Johnny Holton: Offensive Holding 10 yards,0,-1.900,-0.150,1.75
2019-09-22,Saints,Seahawks,4,11:04,4,4,NOR 28,27-14,Thomas Morstead punts 54 yards returned by Tyler Lockett for 1 yard (tackle by J.T. Gray),0,-1.500,-0.150,1.35
2019-09-22,Giants,Buccaneers,4,14:20,4,23,NYG 6,25-28,Riley Dixon punts 49 yards returned by Bobo Wilson for 1 yard (tackle by Michael Thomas),0,-2.490,-1.990,.50
2019-09-22,Bills,Bengals,3,3:08,4,10,CIN 40,14-7,Corey Bojorquez punts 22 yards fair catch by Alex Erickson at CIN-18,0,0.590,-0.040,-0.63
2019-09-22,Jets,Patriots,4,8:53,4,22,NYJ 9,7-30,Lac Edwards punts 57 yards returned by Gunner Olszewski for 11 yards (tackle by Albert McClellan),0,-2.490,-1.930,.56
2019-09-22,Dolphins,Cowboys,4,12:47,4,15,MIA 32,6-24,Matt Haack punts 39 yards out of bounds. Penalty on Byron Jones: Face Mask (15 Yards) 14 yards,0,-1.240,0.220,1.46
2019-09-22,Cardinals,Panthers,4,11:27,4,15,CRD 30,20-35,Andy Lee punts 53 yards returned by Ray-Ray McCloud for no gain (tackle by Andy Lee). Penalty on Ross Cockrell: Offensive Holding (Offsetting),0,-1.370,0.060,1.43
2019-09-22,Chiefs,Ravens,4,10:49,4,10,KAN 43,30-19,Dustin Colquitt punts 57 yards touchback.,0,-0.520,-0.280,.24
2019-09-22,Panthers,Cardinals,4,8:33,4,15,CAR 27,35-20,Michael Palardy punts 53 yards returned by Christian Kirk for no gain (tackle by Andre Smith). Penalty on Trent Sherfield: Offensive Holding 10 yards,0,-1.570,0.380,1.95
2019-09-22,Patriots,Jets,4,4:56,4,2,NYJ 40,30-14,Jake Bailey punts 39 yards downed by Jonathan Jones,0,0.590,0.380,-0.21
2019-09-22,Browns,Rams,4,4:32,4,18,CLE 2,13-20,Jamie Gillan punts 51 yards returned by Jojo Natson for no gain (tackle by Tavierre Thomas),0,-2.490,-2.060,.43
2019-09-22,Texans,Chargers,4,4:30,4,18,HTX 28,27-20,Bryan Anger punts 55 yards returned by Desmond King for -1 yards (tackle by Zach Cunningham),0,-1.500,0.140,1.64
2019-09-22,Jets,Patriots,4,2:44,4,2,NYJ 9,14-30,Lac Edwards punts 52 yards downed by Harvey Langi,0,-2.490,-1.530,.96
2019-09-22,Cardinals,Panthers,4,7:07,4,10,CRD 10,20-35,Zane Gonzalez punts 44 yards fair catch by Ray-Ray McCloud at CAR-46,0,-2.490,-1.990,.50
2019-09-22,Lions,Eagles,4,3:24,4,8,PHI 40,27-24,Sam Martin punts 40 yards touchback.,0,0.590,-0.280,-0.87
2019-09-22,Panthers,Cardinals,4,5:31,4,7,CAR 49,35-20,Michael Palardy punts 42 yards out of bounds,0,-0.130,0.380,.51
2019-09-22,Patriots,Jets,4,1:45,4,5,NWE 44,30-14,Jake Bailey punts 29 yards out of bounds,0,-0.460,-0.740,-0.28
2019-09-22,Giants,Buccaneers,4,4:33,4,5,NYG 30,25-31,Riley Dixon punts 49 yards returned by Bobo Wilson for 1 yard (tackle by Cody Core),0,-1.370,-0.410,.96
2019-09-22,Bills,Bengals,4,9:14,4,1,BUF 45,14-14,Corey Bojorquez punts 40 yards fair catch by Alex Erickson at CIN-15,0,-0.390,0.220,.61
2019-09-22,Buccaneers,Giants,4,3:24,4,1,TAM 31,31-25,Bradley Pinion punts 44 yards fair catch by T.J. Jones at NYG-25,0,-1.310,-0.610,.70
2019-09-22,Saints,Seahawks,4,1:55,4,1,NOR 32,33-21,Thomas Morstead punts 58 yards returned by Tyler Lockett for 8 yards (tackle by Dwayne Washington),0,-1.240,-0.040,1.20
2019-09-22,Cardinals,Panthers,4,2:42,4,28,CRD 7,20-38,Zane Gonzalez punts 40 yards downed by Dennis Gardeck,0,-2.490,-2.460,.03
2019-09-19,Jaguars,Titans,1,13:22,4,1,JAX 34,0-0,Logan Cooke punts 50 yards muffed catch by Adoree' Jackson recovered by Leon Jacobs at TEN-7 (tackle by Jayon Brown). Penalty on Malcolm Butler: Offensive Holding (Declined),0,-1.110,5.600,6.71
2019-09-19,Titans,Jaguars,1,10:19,4,16,OTI 29,0-7,Brett Kern punts 42 yards returned by Dede Westbrook for 9 yards (tackle by Daren Bates),0,-1.440,-1.470,-0.03
2019-09-19,Titans,Jaguars,1,3:34,4,9,JAX 46,0-14,Brett Kern punts 31 yards fair catch by Dede Westbrook at JAC-15,0,0.200,0.220,.02
2019-09-19,Jaguars,Titans,1,1:42,4,10,JAX 15,14-0,Logan Cooke punts 41 yards fair catch by Adoree' Jackson at TEN-44,0,-2.440,-1.860,.58
2019-09-19,Titans,Jaguars,2,14:22,4,30,JAX 46,0-14,Brett Kern punts 31 yards fair catch by Dede Westbrook at JAC-15,0,0.200,0.220,.02
2019-09-19,Jaguars,Titans,2,11:34,4,4,JAX 47,14-0,Logan Cooke punts 30 yards out of bounds. Penalty on Austin Calitro: Offensive Holding 10 yards,0,-0.260,-1.140,-0.88
2019-09-19,Titans,Jaguars,2,10:45,4,6,OTI 37,0-14,Brett Kern punts 63 yards touchback.,0,-0.910,-0.280,.63
2019-09-19,Jaguars,Titans,2,8:11,4,6,JAX 24,14-0,Logan Cooke punts 55 yards downed by Josh Robinson,0,-1.770,-0.340,1.43
2019-09-19,Titans,Jaguars,2,2:00,4,11,OTI 43,0-14,Brett Kern punts 52 yards out of bounds,0,-0.520,0.380,.90
2019-09-19,Jaguars,Titans,2,1:36,4,4,JAX 11,14-0,Logan Cooke punts 57 yards returned by Adam Humphries for 16 yards (tackle by Austin Calitro). Penalty on David Long: Illegal Block Above the Waist (Offsetting) (no play),0,-2.490,-2.490,.00
2019-09-19,Jaguars,Titans,2,1:23,4,4,JAX 11,14-0,Logan Cooke punts 33 yards out of bounds,0,-2.490,-2.650,-0.16
2019-09-19,Titans,Jaguars,2,0:52,4,20,OTI 46,0-14,Brett Kern punts 44 yards fair catch by Dede Westbrook at JAC-10,0,-0.320,0.380,.70
2019-09-19,Titans,Jaguars,3,1:12,4,17,JAX 47,0-17,Brett Kern punts 47 yards touchback.,0,0.130,-0.280,-0.41
2019-09-19,Jaguars,Titans,4,14:54,4,7,JAX 23,17-0,Logan Cooke punts 43 yards fair catch by Adam Humphries at TEN-34,0,-1.830,-1.200,.63
2019-09-19,Titans,Jaguars,4,4:50,4,31,OTI 18,7-20,Brett Kern punts 62 yards returned by Dede Westbrook for 2 yards (tackle by Amani Hooker),0,-2.240,-0.410,1.83
2019-09-16,Jets,Browns,1,8:58,4,12,NYJ 13,0-3,Lac Edwards punts 55 yards returned by Jarvis Landry for 16 yards (tackle by Thomas Hennessy),0,-2.490,-2.130,.36
2019-09-16,Jets,Browns,1,5:30,4,6,NYJ 29,0-6,Lac Edwards punts 51 yards returned by Jarvis Landry for 18 yards (tackle by Rontez Miles and Trenton Cannon). Penalty on Chad Thomas: Illegal Block Above the Waist 10 yards,0,-1.440,-0.810,.63
2019-09-16,Browns,Jets,1,2:43,4,5,CLE 46,6-0,Jamie Gillan punts 37 yards fair catch by Braxton Berrios at NYJ-17. Penalty on Steve McLendon: Offensive Holding 8 yards,0,-0.320,0.380,.70
2019-09-16,Jets,Browns,2,13:33,4,29,NYJ 9,0-6,Lac Edwards punts 52 yards returned by Jarvis Landry for 8 yards (tackle by Thomas Hennessy),0,-2.490,-2.060,.43
2019-09-16,Browns,Jets,2,1:03,4,4,CLE 50,13-3,Jamie Gillan punts 40 yards fair catch by Braxton Berrios at NYJ-10,0,-0.060,0.380,.44
2019-09-16,Jets,Browns,2,0:43,4,13,NYJ 7,3-13,Lac Edwards punts 33 yards downed by Rontez Miles,0,-2.490,-2.920,-0.43
2019-09-16,Jets,Browns,3,13:00,4,10,NYJ 12,3-16,Lac Edwards punts 49 yards returned by Jarvis Landry for 6 yards (tackle by Neville Hewitt),0,-2.490,-1.930,.56
2019-09-16,Browns,Jets,3,11:07,4,4,NYJ 49,16-3,Jamie Gillan punts 36 yards fair catch by Braxton Berrios at NYJ-13,0,0.000,0.320,.32
2019-09-16,Jets,Browns,3,9:09,4,6,NYJ 17,3-16,Lac Edwards punts 49 yards out of bounds,0,-2.320,-1.200,1.12
2019-09-16,Browns,Jets,3,7:18,4,9,CLE 35,16-3,Jamie Gillan punts 41 yards returned by Braxton Berrios for 5 yards (tackle by KhaDarel Hodge),0,-1.040,-0.870,.17
2019-09-16,Jets,Browns,3,2:17,4,2,NYJ 27,3-23,Lac Edwards punts 40 yards downed by Trenton Cannon,0,-1.570,-1.140,.43
2019-09-16,Browns,Jets,3,0:43,4,2,CLE 41,23-3,Jamie Gillan punts 47 yards fair catch by Braxton Berrios at NYJ-12,0,-0.650,0.350,1.00
